,Genre,Correlation_Coefficient,P-Value
13,Music,0.446753247,0.04232392
4,Comedy,0.253246753,0.268017914
12,Musical,0.233766234,0.307787547
3,Biography,0.207792208,0.366081554
11,Horror,0.154545455,0.503567858
5,Crime,0.11038961,0.633822802
20,Thriller,0.053246753,0.81869168
7,Drama,0.032478079,0.888852781
19,Sport,0.018181818,0.937650104
14,Mystery,-0.067532468,0.771162499
2,Animation,-0.111688312,0.629811216
6,Documentary,-0.136363636,0.555595356
17,Sci-Fi,-0.176623377,0.443747847
8,Family,-0.184415584,0.423566214
0,Action,-0.215584416,0.347967514
10,History,-0.220779221,0.336188087
22,Western,-0.311688312,0.168999658
9,Fantasy,-0.338961039,0.132810596
16,Romance,-0.34025974,0.131237577
15,News,-0.355360093,0.113911461
1,Adventure,-0.385714286,0.084188191
21,War,-0.425974026,0.054178542
18,Short,-0.64025974,0.001769793
