Year,Month,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film Noir,Game Show,History,Horror,Musical,Music,Mystery,News,Reality-TV,Romance,Sci-Fi,Short,Sport,Talk-Show,Thriller,War,Western
2000,January,0.4265,0,0.53799,0.52979,0.48252,0.54099,0.53095,0.28723,0.53155,0.60904,0.62842,0,0,0.44149,0.68617,0.33333,0.55745,0.6117,0,0,0.55851,0.68972,0.34574,0.56206,0,0.54551,0.3617,0.25532
2000,February,0.36067,0,0.57337,0.57609,0.54447,0.5123,0.56366,0.31833,0.50497,0.63527,0.52866,0,0,0.43043,0.70217,0.82608,0.60326,0.61956,0,0,0.53133,0.55254,0.38044,0.55652,0,0.56196,0.09239,0.0
2000,March,0.51782,0,0.68218,0.64158,0.50135,0.55504,0.52255,0.39164,0.45011,0.6505,0.54125,0,0,0.41832,0.63696,0.71287,0.4703,0.54868,0,0,0.5185,0.65941,0.51287,0.4215,0,0.48548,0.25743,0.0
2000,April,0.48438,0,0.55332,0.68077,0.39511,0.53526,0.5345,0.28269,0.49094,0.68532,0.6044,0,0,0.32692,0.59615,0.66026,0.55289,0.58333,0,0,0.50592,0.60165,0.41667,0.44231,0,0.5174,0.97596,0.0
2000,May,0.72959,0,0.65578,0.59592,0.36508,0.48792,0.54239,0.34354,0.49698,0.55442,0.35884,0,0,0.32245,0.51531,0.5068,0.32823,0.4324,0,0,0.52708,0.58163,0.52041,0.51633,0,0.58043,0.89286,0.91837
2000,June,0.66881,0,0.63093,0.69301,0.4165,0.56107,0.5226,0.37869,0.45857,0.63853,0.68454,0,0,0.4165,0.36598,0.42612,0.49313,0.34639,0,0,0.5073,0.55799,0.53265,0.5567,0,0.57023,0.49484,0.90722
2000,July,0.72039,0,0.60148,0.66235,0.40534,0.53057,0.4705,0.44466,0.43076,0.6265,0.75728,0,0,0.61165,0.80582,0.41019,0.41554,0.52816,0,0,0.43608,0.62743,0.55825,0.46845,0,0.52589,0.51942,0.71845
2000,August,0.71369,0,0.69628,0.59524,0.23809,0.51097,0.60641,0.40408,0.43006,0.62415,0.77551,0,0,0.70408,0.72619,0.48299,0.36122,0.59184,0,0,0.37604,0.70522,0.49617,0.48834,0,0.71189,0.50255,0.65306
2000,September,0.61276,0,0.63942,0.575,0.35817,0.56437,0.55529,0.41266,0.43479,0.5625,0.59134,0,0,0.3077,0.74725,0.29487,0.54258,0.63077,0,0,0.44346,0.62393,0.46539,0.54567,0,0.59736,0.35192,0.41346
2000,October,0.53505,0,0.5635,0.43458,0.44159,0.55756,0.44977,0.34476,0.4506,0.48287,0.5514,0,0,0.23364,0.76635,0.5,0.58344,0.84579,0,0,0.4802,0.58478,0.43458,0.64887,0,0.59082,0.25421,0.0
2000,November,0.48847,0,0.6068,0.60194,0.66748,0.54636,0.37046,0.3828,0.45253,0.62217,0.70079,0,0,0.19418,0.54005,0.46796,0.56505,0.59362,0,0,0.55717,0.60733,0.67476,0.54153,0,0.49786,0.32363,0.0
2000,December,0.56075,0,0.58515,0.58723,0.43692,0.53785,0.43068,0.46168,0.44889,0.53583,0.66685,0,0,0.29283,0.49132,0.43458,0.60561,0.56208,0,0,0.51853,0.5771,0.52103,0.61122,0,0.4983,0.37695,0.40187
2001,January,0.60317,0,0.70648,0.61389,0.47334,0.51429,0.7101,0.36984,0.47143,0.51852,0.58819,0,0,0.28055,0.48667,0.35556,0.67222,0.55079,0,0,0.48889,0.45741,0.45079,0.36944,0,0.57124,0.25556,0.38889
