,Genre,Correlation_Coefficient,P-Value
4,Comedy,0.456420381,0.065535793
12,Musical,0.421786856,0.091726859
7,Drama,0.299332607,0.243138212
10,History,0.196668944,0.449315128
13,Music,0.115032779,0.660205115
5,Crime,0.063082492,0.809924747
2,Animation,0.029685878,0.909952042
20,Thriller,-0.004947646,0.984964136
17,Sci-Fi,-0.012369116,0.962420803
11,Horror,-0.018553674,0.94365455
3,Biography,-0.02350132,0.928661249
16,Romance,-0.110085132,0.674045653
22,Western,-0.124928072,0.632837952
21,War,-0.128638806,0.622687959
0,Action,-0.189247475,0.466939884
6,Documentary,-0.260988348,0.311636551
14,Mystery,-0.27088364,0.292967411
9,Fantasy,-0.279542022,0.277196993
1,Adventure,-0.28572658,0.266256334
19,Sport,-0.296858784,0.247244236
8,Family,-0.399522447,0.1121055
15,News,-0.455856962,0.065911695
18,Short,-0.731014756,0.000856625
